Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
amazon,Amazon Fire HD 10 (2017),https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg,No cellular connectivity,N/A,No,No,"2017, September","Available. Released 2017, October",262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in),500 g (1.10 lb),No,Dolby Atmos audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Customized Android 5.1 (Lollipop); Fire 5.3,Mediatek MT8173,Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)","32/64 GB, 2 GB RAM",2 MP,720p,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.1, A2DP, LE",No,No,microUSB 2.0,Accelerometer,Text-to-Speech English-language content reader,Up to 10 h,"Black, Marine Blue, Punch Red",About 170 EUR,,,,PowerVR G6250,,Non-removable Li-Po 3830 mAh battery (14.2 Wh),,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 8 (2017),https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg,No cellular connectivity,N/A,No,No,"2017, May","Available. Released 2017, June",214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in),369 g (13.02 oz),No,Dolby Atmos sound,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Customized Android 5.1 (Lollipop); Fire 5.4,Mediatek MT8163 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","16/32 GB, 1.5 GB RAM",2 MP,720p,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,microUSB 2.0,Accelerometer,Alexa natural language commands Text-to-Speech English-language content reader,Up to 12 h,"Black, Canary Yellow, Marine Blue, Punch Red",About 110 EUR,,,,Mali-T730MP3,,Non-removable Li-Po 3210 mAh battery (11.87 Wh),,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire 7 (2017),https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg,No cellular connectivity,N/A,No,No,"2017, May","Available. Released 2017, June",192 x 115 x 9.6 mm (7.56 x 4.53 x 0.38 in),295 g (10.41 oz),No,Alexa natural language commands Text-to-Speech English-language content reader,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~62.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Customized Android 5.1 (Lollipop); Fire 5.4,Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1 GB RAM",2 MP,720p,VGA,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,"microUSB 2.0, USB On-The-Go",Accelerometer,Non-removable Li-Ion 2980 mAh battery,Up to 8 h,"Black, Canary Yellow, Marine Blue, Punch Red",About 70 EUR,,,,Mali-450MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 10,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg,No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, September",262 x 159 x 7.7 mm (10.31 x 6.26 x 0.30 in),432 g (15.24 oz),No,Dolby Atmos audio enhancement audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android OS (customized); Fire 5,,Quad-core 1.5 GHz,"microSD, up to 256 GB (dedicated slot)","16/32 GB, 1 GB RAM",5 MP,1080p@30fps,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP, LE",No,No,microUSB 2.0,"Accelerometer, gyro",Text-to-Speech English-language content reader,Up to 8 h,"Black, White",About 210 EUR,,,,,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 8,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg,No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, September",214 x 128 x 7.7 mm (8.43 x 5.04 x 0.30 in),311 g (10.97 oz),No,Dolby Atmos audio enhancement audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Customized Android 5.1 (Lollipop); Fire 5,Mediatek MT8135,Quad-core 1.5 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1 GB RAM",5 MP,1080p@30fps,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP, LE",No,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro",Text-to-Speech English-language content reader,Up to 8 h,"Black, Magenta, Blue, Tangerine",About 130 EUR,,,,PowerVR G6200,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire 7,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg,No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, November",191 x 115 x 10.6 mm (7.52 x 4.53 x 0.42 in),313 g (11.04 oz),No,Free cloud storage for all Amazon content Text-to-Speech English-language content reader,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~62.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Customized Android 5.1 (Lollipop); Fire 5 UI,Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","8 GB, 1 GB RAM",2 MP,720p,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, LE",No,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 2980 mAh battery,Up to 7 h,Black,About 50 EUR,,,,Mali-450MP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HDX 8.9 (2014),https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, October",231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in),375 g (Wi-Fi)/ 389 g (4G) (13.23 oz),Micro-SIM,Dolby Atmos audio enhancement Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~339 ppi density)",Android 4.4 (KitKat - customized); Fire 4,Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.5 GHz Krait 450,No,"16/32/64 GB, 2 GB RAM","8 MP, AF",Yes,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP","Yes, with A-GPS (4G model)",No,microUSB 2.0 (SlimPort),"Accelerometer, gyro",Text-to-Speech English-language content reader,Up to 12 h,Black,About 310 EUR,HSDPA,LTE,"HSPA, LTE",Adreno 420,LED flash,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 7,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg,No cellular connectivity,N/A,No,No,"2014, September","Available. Released 2014, October",191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in),337 g (11.89 oz),No,Dolby Digital Plus audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~58.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.4 (KitKat - customized); Fire 4,,Quad-core (2x1.5 GHz & 2x1.2 GHz),No,"8/16 GB, 1 GB RAM",2 MP,1080p@30fps,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0 (SlimPort),"Accelerometer, gyro",Text-to-Speech English-language content reader,Up to 8 h,"Black, White, Cobalt, Magenta, Citron",About 120 EUR,,,,,,Non-removable Li-Ion battery,,,,,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire HD 6,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd6.jpg,No cellular connectivity,N/A,No,No,"2014, September","Available. Released 2014, October",169 x 103 x 10.7 mm (6.65 x 4.06 x 0.42 in),290 g (10.23 oz),No,Dolby Digital Plus audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 104.4 cm2 (~60.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~252 ppi density)",Android 4.4 (KitKat - customized); Fire 4,,Quad-core (2x1.5 GHz & 2x1.2 GHz),No,"8/16 GB, 1 GB RAM",2 MP,1080p@30fps,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0 (SlimPort),"Accelerometer, gyro",Text-to-Speech English-language content reader,Up to 8 h,"Black, White, Cobalt, Magenta, Citron",About 90 EUR,,,,,,Non-removable Li-Ion battery,,,,,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,
amazon,Amazon Fire Phone,https://cdn2.gsmarena.com/vv/bigpic/amazon-fire-phone.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, June","Available. Released 2014, July",139.2 x 66.5 x 8.9 mm (5.48 x 2.62 x 0.35 in),160 g (5.64 oz),Nano-SIM,"3D Dynamic Perspective UI (based on 4 front cameras) System wide tilt, auto-scroll, swivel, and peek functions","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Amazon Fire 3.5 (Android based), upgradable to 3.6.5",Qualcomm Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,No,"32/64 GB, 2 GB RAM","13 MP, OIS, AF",1080p@30fps,2.1 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",3.0,"Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer",Dolby Digital Plus audio enhancement Active noise cancellation with dedicated mic,Up to 22 h,Black,About 160 EUR,HSDPA 850 / 900 / 1700 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)","HSPA, LTE",Adreno 330,"LED flash, HDR",Non-removable Li-Ion 2400 mAh battery,,Up to 285 h,,,,,,,Corning Gorilla Glass 3 (front and back),,Yes,,Up to 65 h,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HDX 8.9,https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, September. Released 2013, November",Discontinued,231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in),374 g (Wi-Fi)/ 384 g (4G) (13.19 oz),Nano-SIM,CDMA,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~339 ppi density)",Android OS (Jelly Bean - customized); Fire 3,Qualcomm Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,No,"16/32/64 GB, 2 GB RAM","8 MP, AF",Yes,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,"Yes, with A-GPS (4G model)",No,microUSB 2.0,"Accelerometer, gyro",CDMA2000 1xEV-DO,Up to 12 h,Black,About 280 EUR,HSDPA,LTE,"HSPA, LTE",Adreno 330,LED flash,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HDX,https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX.jpg,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, September. Released 2013, October",Discontinued,186 x 128 x 9 mm (7.32 x 5.04 x 0.35 in),303 g (Wi-Fi)/ 311 g (4G) (10.69 oz),Micro-SIM,CDMA,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~59.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)",Android OS (Jelly Bean - customized); Fire 3,Qualcomm Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,No,"16/32/64 GB, 2 GB RAM",1.3 MP,720p,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,"Yes, with A-GPS (4G model)",No,microUSB 2.0,"Accelerometer, gyro",CDMA2000 1xEV-DO,Up to 11 h,Black,About 170 EUR,HSDPA,LTE,"HSPA, LTE",Adreno 330,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HD (2013),https://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HD.jpg,No cellular connectivity,N/A,No,No,"2013, September. Released 2013, September",Discontinued,191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in),345 g (12.17 oz),No,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~58.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android OS (Jelly Bean - customized),,Dual-core 1.5 GHz,No,"8/16 GB, 1 GB RAM",,,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,No,No,microUSB 2.0,"Accelerometer, gyro",Dolby Digital Plus audio enhancement,Up to 10 h,Black,About 100 EUR,,,,,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HD 8.9 LTE,https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2012, September. Released 2012, October",Discontinued,240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in),575 g (1.27 lb),Mini-SIM,No,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~58.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~254 ppi density)",Android 4.0 (customized),TI OMAP 4470,Dual-core 1.5 GHz Cortex-A9,No,"32/64 GB, 1 GB RAM",1.3 MP,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,"Yes, with A-GPS",No,2.0,"Accelerometer, gyro, compass",Dolby Digital Plus audio enhancement,,Black,About 380 EUR,HSDPA,LTE,"HSPA, LTE",PowerVR SGX544,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HD 8.9,https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd-89.jpg,No cellular connectivity,N/A,No,No,"2012, September. Released 2012, October",Discontinued,240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in),567 g (1.25 lb),No,No,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~58.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~254 ppi density)",Android 4.0 (customized),TI OMAP 4470,Dual-core 1.5 GHz Cortex-A9,No,"16/32 GB, 1 GB RAM",1.3 MP,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,No,No,2.0,"Accelerometer, gyro",Dolby Digital Plus audio enhancement,,Black,About 200 EUR,,,,PowerVR SGX544,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire HD,https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire-hd.jpg,No cellular connectivity,N/A,No,No,"2012, September. Released 2012, September",Discontinued,193 x 137 x 10.3 mm (7.60 x 5.39 x 0.41 in),395 g (13.93 oz),No,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~53.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.0 (customized),TI OMAP 4460,Dual-core 1.2 GHz Cortex-A9,No,"16/32 GB, 1 GB RAM",1.3 MP,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,No,No,2.0,"Accelerometer, gyro",Dolby Digital Plus audio enhancement,Up to 11 h,Black,About 150 EUR,,,,PowerVR SGX540,,Non-removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,Amazon Kindle Fire,https://cdn2.gsmarena.com/vv/bigpic/amazon-kindle-fire.jpg,No cellular connectivity,N/A,No,No,"2011, September. Released 2011, November",Discontinued,190 x 120 x 11.4 mm (7.48 x 4.72 x 0.45 in),413 g (14.57 oz),No,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~60.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 2.3 (customized),TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,No,"8 GB, 512 MB RAM",,,,,Yes,Yes,Wi-Fi 802.11 b/g/n,No,No,No,Proprietary,Accelerometer,MP4/VP8 player MP3/WAV/AAC/OGG/MIDI player Organizer Predictive text input,,Black,About 120 EUR,,,,PowerVR SGX540,,Non-removable Li-Ion 4400 mAh battery,,,,Contrast ratio: 896:1 (nominal),,Voice 66dB / Noise 63dB / Ring 66dB,Noise -87.8dB / Crosstalk -83.2dB,,,,,,,,,,,,,,,,,,,,,
