Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
emporia,Emporia Glam,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg,GSM,GSM 900 / 1800,No,No,"2014, March","Available. Released 2014, June",104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in),-,Mini-SIM,Flashlight,TFT,"2.4 inches, 17.8 cm2 (~33.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Mediatek MT6260A,360 MHz,microSD (dedicated slot),"8 MB, 4 MB RAM",2 MP,,,,Yes,Yes,No,No,No,No,,,No,Up to 4 h,Black,,,,,No,,Removable Li-Ion 1020 mAh battery,,Up to 320 h,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,No,No,,,,,,
emporia,Emporia Flip Basic,https://cdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg,GSM,GSM 900 / 1800,No,No,"2014, March","Available. Released 2014, March",96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in),82 g (2.89 oz),Mini-SIM,No,TFT,"2.4 inches, 18.1 cm2 (~38.5% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),,Mediatek MT6260M,360 MHz,No,"16 MB, 32 MB RAM",,,,,Yes,Yes,No,No,No,No,No,,Removable Li-Ion 1020 mAh battery,Up to 3 h 40 min,Black,,,,,No,,,,Up to 360 h,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,No,No,,,,,,
emporia,Emporia Eco,https://cdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg,GSM,GSM 900 / 1800,No,No,2014,Available,124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in),70 g (2.47 oz),Mini-SIM,Flashlight,TFT,"2.2 inches, 15.2 cm2 (~25.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,Mediatek MT6260M,360 MHz,No,"16 MB, 32 MB RAM",VGA,No,,,Yes,Yes,No,No,No,FM radio,miniUSB,,No,Up to 4 h 45 min,Black,,,,,No,,Removable Li-Ion 1020 mAh battery,,Up to 310 h,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,No,No,,,,,,
emporia,Emporia Click Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg,GSM / HSPA,GSM 900 / 1800,Yes,Yes,2014,Available,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),110 g (3.88 oz),Mini-SIM,Flashlight,TFT,"2.4 inches, 17.8 cm2 (~33.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Qualcomm QSC6240,,No,"20 MB, 64 MB RAM",2 MP,Yes,,,Yes,Yes,No,2.0,A-GPS only,No,No,,No,Up to 4 h,White,,HSDPA 900 / 2100,,HSPA,,,Removable Li-Ion 1000 mAh battery,,Up to 320 h,,,,,,,,,,,,,,,,,,"Yes, Photocall",Yes,"SMS, MMS",No,No,,,,,,
emporia,Emporia Essence Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg,GSM,GSM 900 / 1800 - RL2 model,No,No,2012,Available,107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in),74 g (2.61 oz),Mini-SIM,GSM 850 / 1900 - US model,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,Infineon PMB7880,,No,"0.3 MB, 2 MB RAM",,,,,Yes,Yes,No,2.0,No,FM radio,No,,Flashlight,Up to 4 h,Silver,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 400 h,,,,,,,,,,,,,,,,,,100 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia Solid Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg,GSM,GSM 900 / 1800,No,No,2013,Available,119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in),142 g (5.01 oz),Mini-SIM,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Flashlight,TFT,"1.8 inches, 10.2 cm2 (~14.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,Mediatek MT6223,,No,"0.5 MB, 4 MB RAM",,,,,Yes,Yes,No,2.0,Yes,No,No,,No,Up to 5 h,"White, Yellow",,,,,No,,Removable Li-Ion 1750 mAh battery,,Up to 400 h,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,No,No,,,,,,
emporia,Emporia Care Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg,GSM,GSM 900 / 1800,No,No,2013,Available,122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in),103 g (3.63 oz),Mini-SIM,Flashlight,TFT,"2.2 inches, 15.2 cm2 (~22.7% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,Mediatek MT6223,,No,"0.5 MB, 4 MB RAM",,,,,Yes,Yes,No,2.0,Yes,FM radio,No,,No,Up to 6 h,Black,,,,,No,,Removable Li-Ion 1750 mAh battery,,Up to 300 h,,,,,,,,,,,,,,,,,,500 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia Elegance Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg,GSM,GSM 900 / 1800,No,No,2012,Available,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),Mini-SIM,Flashlight,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,Infineon PMB7880,,No,"0.3 MB, 2 MB RAM",,,,,Yes,Yes,No,2.0,No,FM radio,No,,No,Up to 4 h,Black,,,,,,,Removable Li-Ion 1100 mAh battery,,Up to 300 h,,,,,,,,,,,,,,,,,,100 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia Elegance,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg,GSM,GSM 900 / 1800,No,No,2012,Available,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),Mini-SIM,Flashlight,TFT,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,Infineon PMB7880,,No,"0.3 MB, 2 MB RAM",,,,,Yes,Yes,No,2.0,No,FM radio,No,,No,Up to 4 h,"Black, White, Brown",,,,,,,Removable Li-Ion 1100 mAh battery,,Up to 300 h,,,,,,,,,,,,,,,,,,100 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia Connect,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,GSM / UMTS,GSM 900 / 1800,Yes,Yes,2012,Available,108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in),110 g (3.88 oz),Mini-SIM,Flashlight,TFT,"2.8 inches, 22.3 cm2 (~39.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",,Qualcomm QSC6270,,"microSD, up to 2 GB (dedicated slot)","20 MB, 64 MB RAM",2 MP,,,,Yes,Yes,No,2.1,A-GPS only,No,miniUSB,,No,Up to 6 h,Black,,UMTS 900 / 2100,,"Yes, 384 kbps",,,Removable Li-Ion 1150 mAh battery,,Up to 170 h,,,,,,,,,,,,,,,,,,"1500 entries, Photocall",Yes,"SMS, MMS",No,No,,,,,,
emporia,Emporia Click,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaclick.jpg,GSM,GSM 900 / 1800,Yes,No,2011,Available,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),110 g (3.88 oz),Mini-SIM,Flashlight,TFT,"2.2 inches, 15.2 cm2 (~28.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,Mediatek MT6223 (09A)/ MT6260,360 MHz,No,"2 MB, 64 MB RAM",,,,,Yes,Yes,No,2.1,No,No,No,,VGA,Up to 4 h,Black,,,,,No,,Removable Li-Ion 1000 mAh battery,,Up to 320 h,,,,,,,,,,,,,,,,,,"500 entries, Photocall",Yes,"SMS, MMS",No,No,,,,,,
emporia,Emporia Talk Comfort Plus,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfortplus.jpg,GSM,GSM 900 / 1800,No,No,2013,Available,114.5 x 56 x 16 mm (4.51 x 2.20 x 0.63 in),90 g (3.17 oz),Mini-SIM,Flashlight,FSTN,"1.9 inches, 9.3 cm2 (~14.5% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~75 ppi density)",,Infineon PMB7900 (ULC3),,No,"0.4 MB, 4 MB RAM",,,,,Yes,Yes,No,No,No,No,No,,No,Up to 4 h,Black/Silver,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 200 h,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,No,No,,,,,,
emporia,Emporia Talk Comfort,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKcomfort.jpg,GSM,GSM 900 / 1800,No,No,2011,Available,114 x 55 x 15.5 mm (4.49 x 2.17 x 0.61 in),80 g (2.82 oz),Mini-SIM,GSM 850 / 1900,FSTN,"1.8 inches, 8.4 cm2 (~13.3% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~80 ppi density)",,,,No,,,,,,Yes,Yes,No,No,No,No,No,,Flashlight,Up to 4 h,Black/Silver,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 200 h,,,,,,,,,,,,,,,,,,250 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia RL1,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporia-rl1.jpg,GSM,GSM 900 / 1800,No,No,2011,Available,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),Mini-SIM,Flashlight,OLED,"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,No,8 MB,,,,,Yes,Yes,No,No,No,No,No,,No,Up to 3 h,Black,,,,,,,Removable Li-Ion 800 mAh battery,,Up to 200 h,,,,,,,,,,,,,,,,,,100 entries,Yes,SMS,No,No,,,,,,
emporia,Emporia Talk Premium,https://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaTALKpremium1.jpg,GSM,GSM 900 / 1800,No,No,2010,Available,121 x 57 x 15 mm (4.76 x 2.24 x 0.59 in),110 g (3.88 oz),Mini-SIM,GSM 850 / 1900,FSTN,"2.0 inches, 10.3 cm2 (~15.0% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~72 ppi density)",,,,No,,,,,,Yes,Yes,No,No,No,No,No,,Flashlight,Up to 3 h,Black/Silver,,,,,,,Removable Li-Ion 1200 mAh battery,,Up to 200 h,,,,,,,,,,,,,,,,,,100 entries,Yes,SMS,No,No,,,,,,
