Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
i_mate,i-mate JAQ,https://cdn2.gsmarena.com/vv/bigpic/imate-jaq.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2006, September",Discontinued,122 x 71 x 22 mm (4.80 x 2.80 x 0.87 in),160 g (5.64 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~28.0% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,TI OMAP 850,200 MHz ARM926EJ-S,miniSD,"64 MB RAM, 128 MB ROM",,,,,Yes,No,No,1.2,No,No,miniUSB,,No,Up to 4 h,Silver,About 180 EUR,,,,,,Removable Li-Ion 1440 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JASJAM,https://cdn2.gsmarena.com/vv/bigpic/imate-jasjam.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2006, June",Discontinued,112.5 x 58 x 22 mm (4.43 x 2.28 x 0.87 in),176 g (6.21 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.2% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,,400 MHz Samsung,microSD (dedicated slot),"64 MB RAM, 128 MB ROM",2 MP,Yes,QCIF videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,Pocket Office  Voice memo MP3/AAC player,Up to 5 h,Silver,About 220 EUR,HSDPA 850 / 1900 / 2100,,HSPA 1.8 Mbps,,LED flash,Removable Li-Ion 1300 mAh battery,,Up to 200 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate SPJAS,https://cdn2.gsmarena.com/vv/bigpic/imate-spjas.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Class 10,Class 10,"2006, August",Discontinued,112.4 x 49 x 14.8 mm (4.43 x 1.93 x 0.58 in),115 g (4.06 oz),Mini-SIM,5-way navigation button,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~27.2% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,,Samsung 2442 300 MHz,microSD (dedicated slot),"64 MB RAM, 128 MB ROM",1.3 MP,Yes,CIF videocall camera,,Yes,No,No,1.2,No,No,1.1,,Windows MPlayer 10 mobile File manager Pocket Office  Predictive text input Organizer Vioce dial/memo,,,About 110 EUR,UMTS 2100,,"Yes, 384 kbps",,,Removable Li-Ion 1190 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate Smartflip,https://cdn2.gsmarena.com/vv/bigpic/imate-smartflip.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2006, February",Discontinued,98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),99 g (3.49 oz),Mini-SIM,"Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)","TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 850,200 MHz ARM926EJ-S,microSD (dedicated slot),"64 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,No,1.2,No,No,1.1,,No,,Stylish black,About 110 EUR,,,,,,Removable Li-Ion 750 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JAMin,https://cdn2.gsmarena.com/vv/bigpic/imate-jamin.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2006, Q1",Discontinued,108 x 58 x 18.2 mm (4.25 x 2.28 x 0.72 in),150 g (5.29 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,TI OMAP 850,200 MHz ARM926EJ-S,"SD/MMC, up to 2 GB","64 MB RAM, 128 MB ROM",2 MP,CIF,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,No,,Stylish black,About 220 EUR,,,,,,Removable Li-Po 1200 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,
i_mate,i-mate JASJAR,https://cdn2.gsmarena.com/vv/bigpic/imate-jasjar.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Class 10,No,"2005, August",Discontinued,127.7 x 81 x 25 mm (5.03 x 3.19 x 0.98 in),285 g (10.05 oz),Mini-SIM,180-degree pivot display Handwriting recognition,"TFT resistive touchscreen, 65K colors","3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)","640 x 480 pixels, 3.6 inches, 4:3 ratio (~222 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,,Intel Bulverde 520 MHz,"SDIO/MMC, up to 2 GB","64 MB RAM, 128 MB ROM",1.3 MP,Yes,VGA videocall camera,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11b,Yes,No,No,miniUSB,,Dual speakers,Up to 8 h,Stylish black,About 260 EUR,UMTS 2100,,"Yes, 384 kbps",,,Removable Li-Ion 1620 mAh battery,,Up to 260 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,,
i_mate,i-mate K-JAM,https://cdn2.gsmarena.com/vv/bigpic/imate-k-jam.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2005, September",Discontinued,108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),160 g (5.64 oz),Mini-SIM,No,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,TI OMAP 850,200 MHz ARM926EJ-S,"miniSD, up to 2 GB","64 MB RAM, 128 MB ROM",1.3 MP,Yes,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,Microsoft ActiveSync Pocket Office  MP3/AAC player,Up to 5 h,Stylish black,About 280 EUR,,,,,LED flash,Removable Li-Po 1250 mAh battery,,Up to 200 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate SP5,https://cdn2.gsmarena.com/vv/bigpic/imate-sp5.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2005, August",Discontinued,107.5 x 46.2 x 17.5 mm (4.23 x 1.82 x 0.69 in),106 g (3.74 oz),Mini-SIM,5-way navigation button,"TFT, 65K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~30.2% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 850,200 MHz ARM926EJ-S,MiniSD,"64 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,miniUSB 1.1,,No,Up to 5 h,,About 150 EUR,,,,,,Removable Li-Ion 1050 mAh battery,,Up to 250 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,,
i_mate,i-mate SP5m,https://cdn2.gsmarena.com/vv/bigpic/imate-sp5m.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2005, August",Discontinued,107.5 x 46.2 x 17.5 mm (4.23 x 1.82 x 0.69 in),106 g (3.74 oz),Mini-SIM,5-way navigation button,"TFT, 65K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~30.2% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 730,200 MHz ARM926EJ-S,MiniSD,"64 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,miniUSB 1.1,,No,Up to 5 h,,About 150 EUR,,,,,,Removable Li-Ion 1050 mAh battery,,Up to 250 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,,
i_mate,i-mate SP4m,https://cdn2.gsmarena.com/vv/bigpic/imate-sp4m.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, September",Discontinued,109 x 48 x 19 mm (4.29 x 1.89 x 0.75 in),100 g (3.53 oz),Mini-SIM,No,"TFT, 65K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~28.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Microsoft Windows Mobile 5.0 Smartphone,TI OMAP 850,200 MHz ARM926EJ-S,miniSD,"64 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,No,1.2,No,No,miniUSB,,Microsoft ActiveSync MP3/AAC player Predictive text input,Up to 3 h,Silver,About 130 EUR,,,,,,Removable Li-Po 1150 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,
i_mate,i-mate JAM Black,https://cdn2.gsmarena.com/vv/bigpic/imate-jam_black.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q3",Discontinued,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),160 g (5.64 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC,,Intel Bulverde 416 MHz,SDIO/MMC,"128 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,No,1.2,No,No,Proprietary,,No,,Stylish black,About 270 EUR,,,,,,Removable Li-Po 1200 mAh battery,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,
i_mate,i-mate JAM,https://cdn2.gsmarena.com/vv/bigpic/imjam.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q4",Discontinued,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),150 g (5.29 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC,,Intel PXA272 416 MHz,"SDIO/MMC, up to 2 GB",64 MB RAM,1.3 MP,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,No,Up to 3 h 30 min,Stylish black and silver,About 260 EUR,,,,,,Removable Li-Ion 1200 mAh battery,,Up to 180 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,
i_mate,i-mate PDA2,https://cdn2.gsmarena.com/vv/bigpic/imate-pda2.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q4",Discontinued,130 x 69 x 19 mm (5.12 x 2.72 x 0.75 in),190 g (6.70 oz),Mini-SIM,Handwriting recognition,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.3% screen-to-body ratio)","240 x 320 pixels, 3.5 inches, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC,,Intel XScale PXA272 520 MHz,"MMC/SDIO, up to 2 GB","128 MB RAM, 64 MB ROM",1.3 MP,Yes,,,Yes,No,Wi-Fi 802.11b,v.1.2,No,No,Proprietary,,No,Up to 3 h 30 min,,,,,,,,Removable Li-Ion 1300 mAh battery,,Up to 150 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,
i_mate,i-mate PDA2k,https://cdn2.gsmarena.com/vv/bigpic/impda2k.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,No,"2004, Q3",Discontinued,125 x 71.6 x 18.7 mm (4.92 x 2.82 x 0.74 in),210 g (7.41 oz),Mini-SIM,No,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.4% screen-to-body ratio)","240 x 320 pixels, 3.5 inches, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC,,Intel PXA263 400 MHz,SDIO/MMC,"128 MB RAM, 64 MB ROM",VGA,Yes,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,Proprietary,,Microsoft ActiveSync MP3/AAC player Predictive text input,Up to 4 h,Stylish black and silver,,,,,,,Removable Li-Ion 1050 mAh battery,,Up to 168 h,,,,,,,,,,,,,HTML (PocketIE),QWERTY,,Yes,,,,,,,"Vibration; Downloadable polyphonic, WAV ringtones",,,8,,,
i_mate,i-mate SP3i,https://cdn2.gsmarena.com/vv/bigpic/imsp3i.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q3",Discontinued,107.5 x 44.5 x 18 mm (4.23 x 1.75 x 0.71 in),102 g (3.60 oz),Mini-SIM,5-way navigation button 3-color LED indicator Downloadable logos,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~31.8% screen-to-body ratio)","176 x 220 pixels, 2.2 inches (~128 ppi density)",Microsoft Windows Mobile 2003 SE Smartphone,TI OMAP 730,200 MHz ARM926EJ-S,MiniSD,"32 MB RAM, 64 MB ROM",VGA,Yes,,,Yes,No,No,1.1,No,No,Proprietary,,No,Up to 3 h 30 min,Stylish black and silver,,,,,,,Removable Li-Ion 1050 mAh battery,,Up to 140 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,8,,,
i_mate,i-mate SP3,https://cdn2.gsmarena.com/vv/bigpic/imsp3.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q2",Discontinued,107.5 x 46.2 x 17 mm (4.23 x 1.82 x 0.67 in),106.3 g (3.74 oz),Mini-SIM,5-way navigation button 3-color LED indicator Downloadable logos,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.7% screen-to-body ratio)","176 x 220 pixels, 2.2 inches (~128 ppi density)",Microsoft Windows Mobile 2003 SE Smartphone,TI OMAP 730,200 MHz ARM926EJ-S,MiniSD,"32 MB RAM, 64 MB ROM",VGA,Yes,,,Yes,No,No,1.1,No,No,Proprietary,,No,Up to 3 h 30 min,"Cool metallic, Light blue",,,,,,,Removable Li-Ion 1050 mAh battery,,Up to 140 h,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,8,,,
i_mate,i-mate Pocket PC,https://cdn2.gsmarena.com/vv/bigpic/impocket.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q2",Discontinued,"130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)",190 g (6.70 oz),Mini-SIM,5-way navigation button Downloadable logos,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 PocketPC,,Intel PXA263 400 MHz,SDIO/MMC,64 MB RAM (128 MB optional),VGA,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,No,Up to 3 h 30 min,Silver,,,,,,,Removable Li-Ion 1200 mAh battery,,Up to 160 h,,,,,,,,,,,,,HTML (PocketIE),,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,7,,,
i_mate,i-mate Smartphone2,https://cdn2.gsmarena.com/vv/bigpic/imsmart2.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2004, Q1",Discontinued,"120.4 x 50.1 x 24.4 mm, 105 cc (4.74 x 1.97 x 0.96 in)",130 g (4.59 oz),Mini-SIM,White LED back light 5-way navigation button Downloadable logos,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.3% screen-to-body ratio)","176 x 220 pixels, 2.2 inches (~128 ppi density)",Microsoft Smartphone 2003 OS,TI OMAP 710,133 MHz  ARM925,"SDIO/MMC, up to 2 GB","32 MB RAM, 64 MB ROM",VGA,No,,,Yes,No,No,Yes,No,No,1.1,,No,Up to 3 h 30 min,,,,,,,,Removable Li-Ion 1000 mAh battery,,Up to 90 h,,,,,,,,,,,,,HTML (PocketIE),,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,7,,,
i_mate,i-mate Smartphone,https://cdn2.gsmarena.com/vv/bigpic/imsmart.gif,GSM,GSM 900 / 1800 / 1900,Class 8,No,"2004, Q1",Discontinued,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),Mini-SIM,White LED back light 5-way navigation button Downloadable logos,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),Microsoft Windows Mobile Smartphone,,120 MHz,SD/SDIO,"16 MB RAM, 32 MB ROM",,,,,Yes,No,No,No,No,No,Proprietary,,No,Up to 6 h,,,,,,,,Removable Li-Ion battery,,Up to 90 h,,,,,,,,,,,,,HTML (PocketIE),,,Yes,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,7,,,
